,id,subsector,nivel,eje,n°,desccorta,desclarga
10,11,Matemáticas,1,Patrones y álgebra,11,"Reconocer, crear patrones numéricos del 0-20","Reconocer, describir, crear y continuar patrones repetitivos (sonidos, figuras, ritmos…) y patrones numéricos hasta el 20, crecientes y decrecientes, usando material concreto, pictórico y simbólico, de manera manual y/o por medio de software educativo."
11,12,Matemáticas,1,Patrones y álgebra,12,Describir la igualdad y desigualdad del 0-20,"Describir y registrar la igualdad y la desigualdad como equilibrio y desequilibrio, usando una balanza en forma concreta, pictórica y simbólica del 0 al 20, usando el símbolo igual (=)."
12,13,Matemáticas,1,Geometría,13,Describir posición de objetos con lenguaje común,"Describir la posición de objetos y personas con relación a sí mismos y a otros objetos y personas, usando un lenguaje común (como derecha e izquierda)."
13,14,Matemáticas,1,Geometría,14,Identificar figuras en 3D y 2D en entorno,"Identificar en el entorno figuras 3D y figuras 2D y relacionarlas, usando material concreto."
14,15,Matemáticas,1,Geometría,15,Identificar y dibujar líneas rectas y curvas,Identificar y dibujar líneas rectas y curvas.
15,16,Matemáticas,1,Medición,16,"Usar unidades de tiempo, comparar duración eventos",Usar unidades no estandarizadas de tiempo para comparar la duración de eventos cotidianos.
16,17,Matemáticas,1,Medición,17,Secuenciar eventos utilizando lenguaje cotidiano,"Usar un lenguaje cotidiano para secuenciar eventos en el tiempo: días de la semana, meses del año y algunas fechas significativas."
17,18,Matemáticas,1,Medición,18,Identificar y comparar longitud de objetos,"Identificar y comparar la longitud de objetos, usando palabras como largo y corto."
18,19,Matemáticas,1,Datos y probabilidades,19,Registrar datos en tablas para responder preguntas,"Recolectar y registrar datos para responder preguntas estadísticas sobre sí mismo y el entorno, usando bloques, tablas de conteo y pictogramas."
19,20,Matemáticas,1,Datos y probabilidades,20,"Construir, leer e interpretar pictogramas.","Construir, leer e interpretar pictogramas."
20,21,Matemáticas,2,Números y operaciones,1,"Contar a intervalos, adelante para atrás de 0-1000","Contar números del 0 al 1 000 de 2 en 2, de 5 en 5, de 10 en 10 y de 100 en 100, hacia adelante y hacia atrás, empezando por cualquier número menor que 1 000."
21,22,Matemáticas,2,Números y operaciones,2,Leer y representar numerales del 0-100,"Leer números del 0 al 100 y representarlos en forma concreta, pictórica y simbólica."
22,23,Matemáticas,2,Números y operaciones,3,Comparar y ordenar numerales del 0-100,"Comparar y ordenar números del 0 al 100 de menor a mayor y viceversa, usando material concreto y monedas nacionales de manera manual y/o por medio de software educativo."
23,24,Matemáticas,2,Números y operaciones,4,"Estimar cantidades 0 – 100, en diversas situaciones","Estimar cantidades hasta 100 en situaciones concretas, usando un referente."
24,25,Matemáticas,2,Números y operaciones,5,Componer y descomponer números del 0-100,"Componer y descomponer números del 0 a 100 de manera aditiva, en forma concreta, pictórica y simbólica."
25,26,Matemáticas,2,Números y operaciones,6,Aplicación de cálculo mental en + y -  del 0-20,Describir y aplicar estrategias2 de cálculo mental para adiciones y sustracciones hasta 20:completar 10; usar dobles y mitades;“uno más uno menos”;“dos más dos menos”; usar la reversibilidad de las operaciones.
26,27,Matemáticas,2,Números y operaciones,7,Representa valor posicional de numerales hasta 100,"Identificar las unidades y decenas en números del 0 al 100, representando las cantidades de acuerdo a su valor posicional, con material concreto, pictórico y simbólico."
27,28,Matemáticas,2,Números y operaciones,8,Demostrar el efecto de + y -  0 a un número.,"Demostrar y explicar de manera concreta, pictórica y simbólica el efecto de sumar y restar 0 a un número."
28,29,Matemáticas,2,Números y operaciones,9,Ejemplificar adición y sustracción del 0-100,"Demostrar que comprende la adición y la sustracción en el ámbito del 0 al 100: usando un lenguaje cotidiano y matemático para describir acciones desde su propia experiencia;resolviendo problemas con una variedad de representaciones concretas y pictóricas, de manera manual y/o usando software educativo; registrando el proceso en forma simbólica; aplicando los resultados de las adiciones y las sustracciones de los números del 0 a 20 sin realizar cálculos; aplicando el algoritmo de la adición y la sustracción sin considerar reserva; creando problemas matemáticos en contextos familiares y resolviéndolos."
29,30,Matemáticas,2,Números y operaciones,10,"Comprender  relación + y - , resolución problemas",Demostrar que comprende la relación entre la adición y la sustracción al usar la “familia de operaciones”3 en cálculos aritméticos y la resolución de problemas.
30,31,Matemáticas,2,Números y operaciones,11,Demostrar que comprende la multiplicación:,"Demostrar que comprende la multiplicación:  usando representaciones concretas y pictóricas;  expresando una multiplicación como una adición de sumandos iguales; usando la distributividad como estrategia para construir las tablas del 2, del 5 y del 10; resolviendo problemas que involucren las tablas del 2, del 5 y del 10"
31,32,Matemáticas,2,Patrones y álgebra,12,"Crear, representar y continuar  patrones numéricos","Crear, representar y continuar una variedad de patrones numéricos y completar los elementos faltantes, de manera manual y/o usando software educativo."
32,33,Matemáticas,2,Patrones y álgebra,13,Explicar y registrar la igualdad y la desigualdad,"Demostrar, explicar y registrar la igualdad y la desigualdad en forma concreta y pictórica del 0 al 20, usando el símbolo igual (=) y los símbolos no igual (>, <)."
33,34,Matemáticas,2,Geometría,14,Describir posición  objetos en relación a sí mismo,"Representar y describir la posición de objetos y personas con relación a sí mismos y a otros objetos y personas, incluyendo derecha e izquierda y usando material concreto y dibujos."
34,35,Matemáticas,2,Geometría,15,Comparar y construir figuras geométricas en 2D .,"Describir, comparar y construir figuras 2D (triángulos, cuadrados, rectángulos y círculos) con material concreto."
35,36,Matemáticas,2,Geometría,16,Comparar y construir cuerpos geométricos en 3D .,"Describir, comparar y construir figuras 3D (cubos, paralelepípedos, esferas y conos) con diversos materiales."
36,37,Matemáticas,2,Medición,17,"Identificar días, semanas, meses  en el calendario","Identificar días, semanas, meses y fechas en el calendario."
37,38,Matemáticas,2,Medición,18,Leer horas y medias horas en relojes digitales,"Leer horas y medias horas en relojes digitales, en el contexto de la resolución de problemas."
38,39,Matemáticas,2,Medición,19,Usar medidas estándar para medir longitud objetos,"Determinar la longitud de objetos, usando unidades de medidas no estandarizadas y unidades estandarizadas (cm y m), en el contexto de la resolución de problemas."
39,40,Matemáticas,2,Datos y probabilidades,20,"Registrar datos, responder preguntas estadísticas","Recolectar y registrar datos para responder preguntas estadísticas sobre juegos con monedas y dados, usando bloques y tablas de conteo y pictogramas."
40,41,Matemáticas,2,Datos y probabilidades,21,Registro en tablas y gráficos resultados de juegos,"Registrar en tablas y gráficos de barra simple, resultados de juegos aleatorios con dados y monedas."
41,42,Matemáticas,2,Datos y probabilidades,22,Construir e interpretar pictogramas  y gráficos,"Construir, leer e interpretar pictogramas con escala y gráficos de barra simple."
42,43,Matemáticas,3,Números y operaciones,1,"Contar a intervalos, adelante para atrás de 0-1000","Contar números del 0 al 1 000 de 5 en 5, de 10 en 10, de 100 en 100: empezando por cualquier número natural menor que 1 000; de 3 en 3, de 4 en 4…, empezando por cualquier múltiplo del número correspondiente."
43,44,Matemáticas,3,Números y operaciones,2,Leer y representar numerales del 0-1000,"Leer números hasta 1 000 y representarlos en forma concreta, pictórica y simbólica."
44,45,Matemáticas,3,Números y operaciones,3,Comparar y ordenar numerales del 0-1000,"Comparar y ordenar números naturales hasta 1 000, utilizando la recta numérica o la tabla posicional de manera manual y/o por medio de software educativo."
45,46,Matemáticas,3,Números y operaciones,4,"Estimar cantidades 0 – 100, en diversas situaciones",Describir y aplicar estrategias5 de cálculo mental para las adiciones y las sustracciones hasta por descomposición; completar hasta la decena más cercana; usar dobles; sumar en vez de restar; aplicar la asociatividad.
46,47,Matemáticas,3,Números y operaciones,5,Representar valor posicional del 0-1000,"Identificar y describir las unidades, las decenas y las centenas en números del 0 al 1 000, representando las cantidades de acuerdo a su valor posicional, con material concreto, pictórico y simbólico."
47,48,Matemáticas,3,Números y operaciones,6,Demostrar que comprenden la adición y la sustracción de números del 0 al 1 000,"Demostrar que comprenden la adición y la sustracción de números del 0 al 1 000: usando estrategias personales con y sin material concreto; creando y resolviendo problemas de adición y sustracción que involucren operaciones combinadas, en forma concreta, pictórica y simbólica, de manera manual y/o por medio de software educativo; aplicando los algoritmos con y sin reserva, progresivamente, en la adición de hasta cuatro sumandos y en la sustracción de hasta un sustraendo"
48,49,Matemáticas,3,Números y operaciones,7,"Comprender  relación + y - , resolución problemas","Demostrar que comprenden la relación entre la adición y la sustracción, usando la “familia de operaciones” en cálculos aritméticos y en la resolución de problemas."
49,50,Matemáticas,3,Números y operaciones,8,Demostrar que comprende la multiplicación,"Demostrar que comprenden las tablas de multiplicar hasta el 10 de manera progresiva: usando representaciones concretas y pictóricas;  expresando una multiplicación como una adición de sumandos iguales; usando la distributividad como estrategia para construir las tablas hasta el 10;aplicando los resultados de las tablas de multiplicación hasta 10x10, sin realizar cálculos;  resolviendo problemas que involucren las tablas aprendidas hasta el 10"
50,51,Matemáticas,3,Números y operaciones,9,Demostrar que comprende la división:,"Demostrar que comprenden la división en el contexto de las tablas de hasta 10x10: representando y explicando la división como repartición y agrupación en partes iguales, con material concreto y pictórico; creando y resolviendo problemas en contextos que incluyan la repartición y la agrupación; expresando la división como una sustracción repetida; describiendo y aplicando la relación inversa entre la división y la multiplicación; aplicando los resultados de las tablas de multiplicación hasta 10x10, sin realizar cálculos."
51,52,Matemáticas,3,Números y operaciones,10,Resolver problemas con las cuatro operaciones,"Resolver problemas rutinarios en contextos cotidianos, que incluyan dinero e involucren las cuatro operaciones (no combinadas)."
52,53,Matemáticas,3,Números y operaciones,11,Demostrar que comprende las fracciones,"Demostrar que comprenden las fracciones de uso común: 1/4 , 1/3 , 1/2 , 2/3 , 3/4 : explicando que una fracción representa la parte de un todo, de manera concreta, pictórica, simbólica, de forma manual y/o con software educativo; describiendo situaciones en las cuales se puede usar fracciones; comparando fracciones de un mismo todo, de igual denominador."
53,54,Matemáticas,3,Patrones y álgebra,12,"Crear, representar y continuar  patrones numéricos","Generar, describir y registrar patrones numéricos, usando una variedad de estrategias en tablas del 100, de manera manual y/o con software educativo."
54,55,Matemáticas,3,Patrones y álgebra,13,Explicar y registrar la igualdad y la desigualdad,"Resolver ecuaciones de un paso que involucren adiciones y sustracciones y un símbolo geométrico que represente un número desconocido, en forma pictórica y simbólica del 0 al 100."
55,56,Matemáticas,3,Geometría,14,Describir localización de objetos en mapas,Describir la localización de un objeto en un mapa simple o en una cuadrícula.
56,57,Matemáticas,3,Geometría,15,Relación de figuras geométricas en 2D y 3D .,Demostrar que comprenden la relación que existe entre figuras 3D y figuras 2D: construyendo una figura 3D a partir de una red (plantilla); desplegando la figura 3D
57,58,Matemáticas,3,Geometría,16,Describir cuerpos geométricos,"Describir cubos, paralelepípedos, esferas, conos, cilindros y pirámides de acuerdo a la forma de sus caras y el número de aristas y vértices."
58,59,Matemáticas,3,Geometría,17,Reconocer en el entorno de figuras en 2D,"Reconocer en el entorno figuras 2D que están trasladadas, reflejadas y rotadas."
59,60,Matemáticas,3,Geometría,18,Comprender concepto de ángulos,"Demostrar que comprenden el concepto de ángulo: identificando ejemplos de ángulos en el entorno; estimando la medida de ángulos, usando como referente ángulos de 45º y de 90º"
60,61,Matemáticas,3,Medición,19,Leer e interpretar líneas de tiempo y calendarios.,Leer e interpretar líneas de tiempo y calendarios.
61,62,Matemáticas,3,Medición,20,Registrar el tiempo en horas,"Leer y registrar el tiempo en horas, medias horas, cuartos de hora y minutos en relojes análogos y digitales."
62,63,Matemáticas,3,Medición,21,Comprender concepto de perímetro de figuras,Demostrar que comprenden el perímetro de una figura regular e irregular: midiendo y registrando el perímetro de figuras del entorno en el contexto de la resolución de problemas;determinando el perímetro de un cuadrado y de un rectángulo.
63,64,Matemáticas,3,Medición,22,Comparar y ordenar objetos de acuerdo a su peso,"Demostrar que comprende la medición del peso (g y kg): comparando y ordenando dos o más objetos a partir de su peso de manera informal; usando modelos para explicar la relación que existe entre gramos y kilogramos; estimando el peso de objetos de uso cotidiano, usando referentes; midiendo y registrando el peso de objetos en números y en fracciones de uso común, en el contexto de la resolución de problemas"
64,65,Matemáticas,3,Datos y probabilidades,24,Registrar datos obtenidos en juegos aleatorios,"Registrar y ordenar datos obtenidos de juegos aleatorios con dados y monedas, encontrando el menor, el mayor y estimando el punto medio entre ambos."
65,66,Matemáticas,3,Datos y probabilidades,25,"Construir y leer gráficos, pictogramas","Construir, leer e interpretar pictogramas y gráficos de barra simple con escala, de acuerdo a información recolectada o dada."
66,67,Matemáticas,3,Datos y probabilidades,26,Representar datos usando diagramas de puntos.,Representar datos usando diagramas de puntos.
67,68,Matemáticas,4,Números y operaciones,1,Representar números del 0-10000,"Representar y describir números del 0 al 10 000: contándolos de 10 en 10, de 100 en 100, de 1 000 en 1 000; leyéndolos y escribiéndolos; representándolos en forma concreta, pictórica y simbólica; comparándolos y ordenándolos en la recta numérica o la tabla posicional;identificando el valor posicional de los dígitos hasta la decena de mil;componiendo y descomponiendo números naturales hasta 10 000 en forma aditiva, de acuerdo a su valor posicional."
68,69,Matemáticas,4,Números y operaciones,2,Aplicar estrategias de cálculo mental,Describir y aplicar estrategias de cálculo mental: Conteo hacia delante y atrás; Doblar y dividir por 2; Por descomposición;usar el doble del doble para determinar las multiplicaciones hasta 10x10 y sus divisiones correspondientes.
69,70,Matemáticas,4,Números y operaciones,3,"Comprender  relación + y - , resolución problemas",Demostrar que comprenden la adición y la sustracción de números hasta 1 000: usando estrategias personales para realizar estas operaciones; descomponiendo los números involucrados; estimando sumas y diferencias;resolviendo problemas rutinarios y no rutinarios que incluyan adiciones y sustracciones; aplicando los algoritmos en la adición de hasta cuatro sumandos y en la sustracción de hasta un sustraendo.
70,71,Matemáticas,4,Números y operaciones,4,Aplicar propiedades del 0 y 1 para la *y /,Fundamentar y aplicar las propiedades del 0 y del 1 para la multiplicación y la propiedad del 1 para la división.
71,72,Matemáticas,4,Números y operaciones,5,Comprender  la multiplicación de números de 3 dígitos,Demostrar que comprenden la multiplicación de números de tres dígitos por números de un dígito:usando estrategias con o sin material concreto; utilizando las tablas de multiplicación; estimando productos; usando la propiedad distributiva de la multiplicación respecto de la suma; aplicando el algoritmo de la multiplicación; resolviendo problemas rutinarios
72,73,Matemáticas,4,Números y operaciones,6,Utilizar estrategias para dividir,"Demostrar que comprenden la división con dividendos de dos dígitos y divisores de un dígito: usando estrategias para dividir, con o sin material concreto; utilizando la relación que existe entre la división y la multiplicación; estimando el cociente; aplicando la estrategia por descomposición del dividendo; aplicando el algoritmo de la división."
73,74,Matemáticas,4,Números y operaciones,7,Resolver problemas en contexto cotidiano,"Resolver problemas rutinarios y no rutinarios en contextos cotidianos que incluyen dinero, seleccionando y utilizando la operación apropiada."
74,75,Matemáticas,4,Números y operaciones,8,Demostrar que comprende las fracciones,"Demostrar que comprende las fracciones con denominadores 100, 12, 10, 8, 6, 5, 4, 3, 2: explicando que una fracción representa la parte de un todo o de un grupo de elementos y un lugar en la recta numérica; describiendo situaciones en las cuales se puede usar fracciones; mostrando que una fracción puede tener representaciones diferentes;comparando y ordenando fracciones (por ejemplo: 1/100 ,1/8 , 1/5 , 1/4 , 1/2) con material concreto y pictórico."
75,76,Matemáticas,4,Números y operaciones,9,Resolver +y - de fracciones,"Resolver adiciones y sustracciones de fracciones con igual denominador (denominadores 100, 12, 10, 8, 6, 5, 4, 3, 2) de manera concreta y pictórica en el contexto de la resolución de problemas."
76,77,Matemáticas,4,Números y operaciones,10,Representar fracciones y números mixtos,"Identificar, escribir y representar fracciones propias y los números mixtos hasta el 5 de manera concreta, pictórica y simbólica, en el contexto de la resolución de problemas."
77,78,Matemáticas,4,Números y operaciones,11,Representar y ordenar decimales,"Describir y representar decimales (décimos y centésimos):representándolos en forma concreta, pictórica y simbólica, de manera manual y/o con software educativo; comparándolos y ordenándolos hasta la centésima."
78,79,Matemáticas,4,Números y operaciones,12,Resolver + y - empleando valor posicional,"Resolver adiciones y sustracciones de decimales, empleando el valor posicional hasta la centésima en el contexto de la resolución de problemas."
79,80,Matemáticas,4,Patrones y álgebra,13,Identificar patrones númericos,"Identificar y describir patrones numéricos en tablas que involucren una operación, de manera manual y/o usando software educativo."
80,81,Matemáticas,4,Patrones y álgebra,14,Resolver ecuaciones que involucren +y -,"Resolver ecuaciones e inecuaciones de un paso que involucren adiciones y sustracciones, comprobando los resultados en forma pictórica y simbólica del 0 al 100 y aplicando las relaciones inversas entre la adición y la sustracción."
81,82,Matemáticas,4,Geometría,15,Describir localización de objetos en mapas,Describir la localización absoluta de un objeto en un mapa simple con coordenadas informales (por ejemplo: con letras y números) y la localización relativa con relación a otros objetos.
82,83,Matemáticas,4,Geometría,16,Determinar las vistas de figuras 3D,"Determinar las vistas de figuras 3D desde el frente, desde el lado y desde arriba."
83,84,Matemáticas,4,Geometría,17,Identificar y crear figuras simétricas,Demostrar que comprenden una línea de simetría:identificando figuras simétricas 2D; creando figuras simétricas 2D; dibujando una o más líneas de simetría en figuras 2D; usando software geométrico.
84,85,Matemáticas,4,Geometría,18,"Trasladar, rotar y reflejar figuras 2D.","Trasladar, rotar y reflejar figuras 2D."
85,86,Matemáticas,4,Geometría,19,Construir ángulos con el transportador,Construir ángulos con el transportador y compararlos.
86,87,Matemáticas,4,Medición,20,Leer y registrar mediciones del tiempo,"Leer y registrar diversas mediciones del tiempo en relojes análogos y digitales, usando los conceptos A.M., P.M. y 24 horas."
87,88,Matemáticas,4,Medición,21,Realizar conversiones de tiempo,"Realizar conversiones entre unidades de tiempo en el contexto de la resolución de problemas: el número de segundos en un minuto, el número de minutos en una hora, el número de días en un mes y el número de meses en un año."
88,89,Matemáticas,4,Medición,22,Medir longitudes con unidades estandarizadas,"Medir longitudes con unidades estandarizadas (m, cm) y realizar transformaciones entre estas unidades (m a cm y viceversa) en el contexto de la resolución de problemas."
89,90,Matemáticas,4,Medición,23,Comprender área de una figura 2D,"Demostrar que comprenden el concepto de área de un rectángulo y de un cuadrado:  reconociendo que el área de una superficie se mide en unidades cuadradas; seleccionando y justificando la elección de la unidad estandarizada (cm² y m²); determinando y registrando el área en cm² y m² en contextos cercanos; construyendo diferentes rectángulos para un área dada (cm² y m²), para mostrar que distintos rectángulos pueden tener la misma área ;usando software geométrico."
90,91,Matemáticas,4,Medición,24,Comprender concepto de volumen,Demostrar que comprenden el concepto de volumen de un cuerpo:seleccionando una unidad no estandarizada para medir el volumen de un cuerpo; reconociendo que el volumen se mide en unidades de cubo;midiendo y registrando el volumen en unidades de cubo;usando software geométrico.
91,92,Matemáticas,4,Datos y probabilidades,25,Realizar encuestar y analizar sus resultados,"Realizar encuestas, analizar los datos y comparar con los resultados de muestras aleatorias, usando tablas y gráficos."
92,93,Matemáticas,4,Datos y probabilidades,26,Realizar experimentos aleatorios y tabular,"Realizar experimentos aleatorios lúdicos y cotidianos, y tabular y representar mediante gráficos de manera manual y/o con software educativo."
93,94,Matemáticas,4,Datos y probabilidades,27,Leer e interpretar gráficos y pictogramas,Leer e interpretar pictogramas y gráficos de barra simple con escala y comunicar sus conclusiones.
94,95,Matemáticas,5,Números y operaciones,1,Representar números del más de 6 dígitos.,Representar y describir números naturales de hasta más de 6 dígitos y menores que 1000 millones:  identificando el valor posicional de los dígitos;componiendo y descomponiendo números naturales en forma estándar  y expandida aproximando cantidades;comparando y ordenando números naturales en este ámbito numérico;dando ejemplos de estos números naturales en contextos reales.
95,96,Matemáticas,5,Números y operaciones,2,Aplicar estrategias de cálculo mental,"Aplicar estrategias de cálculo mental para la multiplicación:anexar ceros cuando se multiplica por un múltiplo de 10;doblar y dividir por 2 en forma repetida; usando las propiedades conmutativa, asociativa y distributiva."
96,97,Matemáticas,5,Números y operaciones,3,Comprender multiplicación de n°s naturales,"Demostrar que comprenden la multiplicación de números naturales de dos dígitos por números naturales de dos dígitos:estimando productos;aplicando estrategias de cálculo mental;resolviendo problemas rutinarios y no rutinarios, aplicando el algoritmo."
97,98,Matemáticas,5,Números y operaciones,4,Comprenden división resolviendo problemas,Demostrar que comprenden la división con dividendos de tres dígitos y divisores de un dígito:interpretando el resto; resolviendo problemas rutinarios y no rutinarios que impliquen divisiones.
98,99,Matemáticas,5,Números y operaciones,5,Realizar cáculos que involucren 4 operaciones,"Realizar cálculos que involucren las cuatro operaciones, aplicando las reglas relativas a paréntesis y la prevalencia de la multiplicación y la división por sobre la adición y la sustracción cuando corresponda."
99,100,Matemáticas,5,Números y operaciones,6,Resolver problemas con 4 operaciones,Resolver problemas rutinarios y no rutinarios que involucren las cuatro operaciones y combinaciones de ellas:que incluyan situaciones con dinero; usando la calculadora y el computador en ámbitos numéricos superiores al 10 000.
100,101,Matemáticas,5,Números y operaciones,7,Compreder concepto de fracciones propias,"Demostrar que comprenden las fracciones propias: representándolas de manera concreta, pictórica y simbólica;creando grupos de fracciones equivalentes –simplificando y amplificando– de manera concreta, pictórica y simbólica, de forma manual y/o con software educativo;comparando fracciones propias con igual y distinto denominador de manera concreta, pictórica y simbólica."
101,102,Matemáticas,5,Números y operaciones,8,Demostrar que comprende las fracciones impropias,"Demostrar que comprenden las fracciones impropias de uso común de denominadores 2, 3, 4, 5, 6, 8, 10, 12 y los números mixtos asociados: usando material concreto y pictórico para representarlas, de manera manual y/o con software educativo; identificando y determinando equivalencias entre fracciones impropias y números mixtos;representando estas fracciones y estos números mixtos en la recta numérica."
102,103,Matemáticas,5,Números y operaciones,9,Resolver +y - de fracciones propias,Resolver adiciones y sustracciones con fracciones propias con denominadores menores o iguales a 12:de manera pictórica y simbólica;amplificando o simplificando.
103,104,Matemáticas,5,Números y operaciones,10,Determinar el decimal correspondiente a una fracción,"Determinar el decimal que corresponde a fracciones con denominador 2, 4, 5 y 10."
104,105,Matemáticas,5,Números y operaciones,11,Comparar y ordenar decimales,Comparar y ordenar decimales hasta la milésima.
105,106,Matemáticas,5,Números y operaciones,12,Resolver + y - empleando valor posicional,"Resolver adiciones y sustracciones de decimales, empleando el valor posicional hasta la milésima."
106,107,Matemáticas,5,Patrones y álgebra,14,Descubrir alguna regla en una sucesión dada,Descubrir alguna regla que explique una sucesión dada y que permita hacer predicciones.
107,108,Matemáticas,5,Patrones y álgebra,15,Resolver problemas usando ecuaciones,"Resolver problemas, usando ecuaciones e inecuaciones de un paso, que involucren adiciones y sustracciones, en forma pictórica y simbólica."
108,109,Matemáticas,5,Geometría,16,Dibujar puntos en plano cartesiano,"Identificar y dibujar puntos en el primer cuadrante del plano cartesiano, dadas sus coordenadas en números naturales."
109,110,Matemáticas,5,Geometría,17,Describir y dar ejemplos de elementos de figuras 3D,Describir y dar ejemplos de aristas y caras de figuras 3D y lados de figuras 2D:que son paralelos;que se intersectan;que son perpendiculares
110,111,Matemáticas,5,Geometría,18,Comprender concepto de congruencia.,"Demostrar que comprenden el concepto de congruencia, usando la traslación, la reflexión y la rotación en cuadrículas y mediante software geométrico."
111,112,Matemáticas,5,Medición,19,Medir longitides con unidades estandarizadas,"Medir longitudes con unidades estandarizadas (m, cm, mm) en el contexto de la resolución de problemas."
112,113,Matemáticas,5,Medición,20,Realizar transformaciones entre medidas de longitud,"Realizar transformaciones entre unidades de medidas de longitud: km a m, m a cm, cm a mm y viceversa, de manera manual y/o usando software educativo."
113,114,Matemáticas,5,Medición,21,Construir rectángulos dado el perímetro o área.,"Diseñar y construir diferentes rectángulos, dados el perímetro, el área o ambos, y sacar conclusiones."
114,115,Matemáticas,5,Medición,22,Calcular área de triángulos y  cuadrilateros,"Calcular áreas de triángulos, de paralelogramos y de trapecios, y estimar áreas de figuras irregulares, aplicando las siguientes estrategias:conteo de cuadrículas; comparación con el área de un rectángulo; completar figuras por traslación"
115,116,Matemáticas,5,Datos y probabilidades,23,Calcular el promedio de datos,Calcular el promedio de datos e interpretarlo en su contexto.
116,117,Matemáticas,5,Datos y probabilidades,24,Describir la ocurrencia de un evento,"Describir la posibilidad de ocurrencia de un evento por sobre la base de un experimento aleatorio, empleando los términos seguro – posible - poco posible - imposible."
117,118,Matemáticas,5,Datos y probabilidades,25,Comparar probabilidades de distintos eventos,Comparar probabilidades de distintos eventos sin calcularlas.
118,119,Matemáticas,5,Datos y probabilidades,26,"Leer, interpretar y completar tablas","Leer, interpretar y completar tablas, gráficos de barra simple y gráficos de línea y comunicar sus conclusiones."
119,120,Matemáticas,5,Datos y probabilidades,27,Utilizar diagramas de tallo,Utilizar diagramas de tallo y hojas para representar datos provenientes de muestras aleatorias
120,121,Matemáticas,6,Números y operaciones,1,Demostrar comprensión de factores y múltiplos,Demostrar que comprenden los factores y los múltiplos:determinando los múltiplos y los factores de números naturales menores de 100; identificando números primos y compuestos; resolviendo problemas que involucran múltiplos
121,122,Matemáticas,6,Números y operaciones,2,Realizar  resolución de problemas  con calculadora,"Realizar cálculos que involucren las cuatro operaciones en el contexto de la resolución de problemas, utilizando la calculadora en ámbitos superiores a 10 000."
122,123,Matemáticas,6,Números y operaciones,3,Demostrar concepto de razón en situaciones diversas,"Demostrar que comprenden el concepto de razón de manera concreta, pictórica y simbólica, en forma manual y/o usando software educativo."
123,124,Matemáticas,6,Números y operaciones,4,Demostrar comprensión del concepto de porcentaje,"Demostrar que comprenden el concepto de porcentaje de manera concreta, pictórica y simbólica, de forma manual y/o usando software educativo."
124,125,Matemáticas,6,Números y operaciones,5,Demostrar comprensión del concepto de fracción.,"Demostrar que comprenden las fracciones y los números mixtos: identificando y determinando equivalencias entre fracciones impropias y números mixtos, usando material concreto y representaciones pictóricas de manera manual y/o con software educativo; representando estos números en la recta numérica"
125,126,Matemáticas,6,Números y operaciones,6,Resolución de operaciones en fracciones.,Resolver adiciones y sustracciones de fracciones propias e impropias y números mixtos con numeradores y denominadores de hasta dos dígitos.
